catchment_id,outfall_arc
GB104027068140,node_2301-to-node_2302
GB104027068150,node_5743-to-node_5744
GB104027068160,node_5798-to-node_5799
GB104027068170,node_5992-to-node_5993
GB104027068190,node_4755-to-node_4756
GB104027068201,node_3495-to-node_3496
GB104027068230,node_4750-to-node_4751
GB104027068240,node_4752-to-node_4753
GB104027068260,node_5017-to-node_5014
GB104027068270,node_5018-to-node_5019
GB104027068292,node_5039-to-node_5031
GB104027068294,node_5044-to-node_5218
GB104027068296,node_5052-to-node_5053
GB104027068297,node_5054-to-node_3876
GB104027068298,node_5059-to-node_5057
GB104027068300,node_5211-to-node_5212
GB104027068311,node_5221-to-node_5946
GB104027068370,node_3494-to-node_815
GB104027068380,node_4416-to-node_4417
GB104027068420,node_4871-to-node_4865
GB104027068430,node_5279-to-node_5280
GB104027068440,node_2586-to-node_2587
GB104027068450,node_5996-to-node_5997
GB104027068470,node_2476-to-node_2477
GB104027068480,node_6019-to-node_6014
GB104027068500,node_2593-to-node_2589
GB104027068520,node_2475-to-node_2476
GB104027068530,node_2481-to-node_2478
GB104027068550,node_2486-to-node_2487
GB104027068560,node_2253-to-node_2243
GB104027068570,node_2491-to-node_2492
GB104027068591,node_2241-to-node_2262
GB104027068600,node_2244-to-node_2245
GB104027068620,node_2255-to-node_2252
GB104027068710,node_2263-to-node_2264
GB104027068720,node_2266-to-node_2267
GB104027068750,node_2271-to-node_2270
GB104027068770,node_2278-to-node_2279
GB104027068780,node_4183-to-node_4184
GB104027068790,node_4191-to-node_4189
GB104027068800,node_4193-to-node_4194
GB104027068810,node_3139-to-node_3140
GB104027068830,node_3936-to-node_3937
GB104027068841,node_3943-to-node_3942
GB104027068870,node_3949-to-node_3950
GB104027068900,node_3963-to-node_3961
GB104027068910,node_3964-to-node_3969
GB104027068930,node_4609-to-node_4607
GB104027068960,node_4626-to-node_4627
GB104027068970,node_4628-to-node_4629
GB104027068980,node_4631-to-node_4632
GB104027068990,node_364-to-node_361
GB104027069000,node_365-to-node_366
GB104027069010,node_374-to-node_373
GB104027069020,node_4765-to-node_4764
GB104027069030,node_4772-to-node_4769
GB104027069050,node_4799-to-node_4800
GB104027069060,node_4803-to-node_4804
GB104027069090,node_4846-to-node_4847
GB104027069110,node_5063-to-node_5060
GB104027069122,node_5091-to-node_5083
GB104027069130,node_5095-to-node_5092
GB104027069140,node_5103-to-node_5101
GB104027069150,node_5105-to-node_5106
GB104027069160,node_5116-to-node_5113
GB104027069170,node_5126-to-node_5125
GB104027069180,node_5137-to-node_5136
GB104027069190,node_4506-to-node_4502
GB104027069200,node_4505-to-node_4506
GB104027069210,node_4509-to-node_4507
GB104027069220,node_4511-to-node_4512
GB104027069250,node_5229-to-node_5226
GB104027069260,node_5232-to-node_5230
GB104027069270,node_5236-to-node_5235
GB104027069310,node_4237-to-node_4228
GB104027069330,node_4242-to-node_4243
GB104027069340,node_804-to-node_805
GB104027069350,node_3452-to-node_3453
GB104027069360,node_3455-to-node_3456
GB104027069380,node_3464-to-node_3465
GB104027069390,node_3466-to-node_3467
GB104027069400,node_3469-to-node_3470
GB104027069410,node_3453-to-node_3454
GB104027069450,node_3478-to-node_3479
GB104027069470,node_3113-to-node_3114
GB104027069480,node_3120-to-node_3116
GB104027069500,node_3128-to-node_3125
GB104027069510,node_3133-to-node_3129
GB104027069540,node_5363-to-node_5359
GB104027069550,node_5364-to-node_5365
GB104027069560,node_4332-to-node_4333
GB104027069591,node_20367-to-node_20453
GB104028042380,node_4365-to-node_4366
GB104028042390,node_4539-to-node_4540
GB104028042420,node_3377-to-node_3378
GB104028042430,node_4559-to-node_4560
GB104028042440,node_4561-to-node_4565
GB104028042470,node_4563-to-node_4564
GB104028042481,node_4570-to-node_4556
GB104028042490,node_5616-to-node_5617
GB104028042501,node_5900-to-node_5901
GB104028042502,node_5901-to-node_3376
GB104028042510,node_3379-to-node_3384
GB104028042520,node_3382-to-node_3383
GB104028042540,node_3385-to-node_3386
GB104028042550,node_3380-to-node_3381
GB104028042580,node_3411-to-node_3412
GB104028042590,node_2507-to-node_2508
GB104028042630,node_2635-to-node_2636
GB104028046430,node_4560-to-node_2646
GB104028046440,node_3410-to-node_2653
GB104028046450,node_2675-to-node_2676
GB104028046460,node_2677-to-node_2678
GB104028046480,node_2287-to-node_2283
GB104028046491,node_2468-to-node_2292
GB104028046520,node_2467-to-node_2468
GB104028046530,node_2469-to-node_2470
GB104028046540,node_2729-to-node_2730
GB104028046550,node_2735-to-node_2736
GB104028046570,node_4008-to-node_2737
GB104028046580,node_4054-to-node_4055
GB104028046590,node_4011-to-node_4009
GB104028046620,node_4017-to-node_4018
GB104028046630,node_4023-to-node_4024
GB104028046640,node_4025-to-node_4026
GB104028046650,node_4028-to-node_4029
GB104028046660,node_3507-to-node_3508
GB104028046680,node_4031-to-node_4032
GB104028046690,node_4033-to-node_4034
GB104028046700,node_3506-to-node_3507
GB104028046740,node_3520-to-node_3521
GB104028046750,node_3525-to-node_3523
GB104028046761,node_3527-to-node_3528
GB104028046790,node_3535-to-node_3532
GB104028046810,node_3536-to-node_3537
GB104028046841,node_3387-to-node_3388
GB104028046860,node_3146-to-node_3142
GB104028046870,node_4020-to-node_3147
GB104028046880,node_3152-to-node_3150
GB104028046901,node_5624-to-node_5619
GB104028046910,node_5625-to-node_5626
GB104028046920,node_5628-to-node_5629
GB104028046940,node_5644-to-node_5643
GB104028046960,node_5750-to-node_5751
GB104028046980,node_5753-to-node_5752
GB104028046990,node_5763-to-node_5760
GB104028047000,node_2676-to-node_2285
GB104028047010,node_5768-to-node_5769
GB104028047050,node_2656-to-node_2657
GB104028047070,node_5810-to-node_5811
GB104028047090,node_5824-to-node_5825
GB104028047110,node_5883-to-node_5884
GB104028047121,node_5886-to-node_5887
GB104028047122,node_4032-to-node_3519
GB104028047170,node_3798-to-node_3799
GB104028047180,node_3220-to-node_3221
GB104028047220,node_4298-to-node_3162
GB104028047240,node_3166-to-node_3167
GB104028047250,node_3168-to-node_3169
GB104028047260,node_3970-to-node_3971
GB104028047270,node_3973-to-node_3974
GB104028047280,node_3216-to-node_3217
GB104028047310,node_381-to-node_376
GB104028047330,node_504-to-node_505
GB104028047360,node_4634-to-node_4635
GB104028047400,node_4654-to-node_4653
GB104028047410,node_4657-to-node_4656
GB104028047440,node_4806-to-node_4807
GB104028047450,node_4809-to-node_4810
GB104028047460,node_4368-to-node_4369
GB104028047500,node_4380-to-node_4381
GB104028047510,node_4383-to-node_4384
GB104028047540,node_4391-to-node_4392
GB104028047570,node_4292-to-node_4293
GB104028047590,node_4574-to-node_4575
GB104028047600,node_4577-to-node_4578
GB104028047610,node_4580-to-node_4581
GB104028052290,node_4582-to-node_4583
GB104028052300,node_4584-to-node_4585
GB104028052320,node_5653-to-node_4592
GB104028052330,node_5651-to-node_4594
GB104028052350,node_5655-to-node_5652
GB104028052360,node_5659-to-node_5656
GB104028052370,node_5660-to-node_5661
GB104028052380,node_5662-to-node_5663
GB104028052390,node_3929-to-node_2715
GB104028052410,node_5665-to-node_5666
GB104028052420,node_4904-to-node_4901
GB104028052430,node_5581-to-node_5582
GB104028052440,node_5584-to-node_5585
GB104028052450,node_3847-to-node_3842
GB104028052460,node_5597-to-node_5596
GB104028052480,node_3024-to-node_3025
GB104028052490,node_3894-to-node_3895
GB104028052501,node_3899-to-node_3022
GB104028052550,node_3020-to-node_3021
GB104028052570,node_3023-to-node_3024
GB104028052580,node_5907-to-node_5908
GB104028052590,node_5922-to-node_5923
GB104028052610,node_3028-to-node_3029
GB104028052620,node_5925-to-node_5926
GB104028052631,node_3828-to-node_3413
GB104028052632,node_3414-to-node_3415
GB104028052651,node_5143-to-node_1016
GB104028052652,node_4896-to-node_4897
GB104028052670,node_2696-to-node_2697
GB104028052690,node_4910-to-node_4911
GB104028052700,node_4919-to-node_4915
GB104028052711,node_4926-to-node_4925
GB104028052720,node_4931-to-node_4930
GB104028052730,node_1014-to-node_1015
GB104028052750,node_1026-to-node_1027
GB104028052760,node_5139-to-node_5140
GB104028052770,node_5151-to-node_5142
GB104028052790,node_5147-to-node_5148
GB104028052800,node_5150-to-node_5151
GB104028052810,node_5152-to-node_5153
GB104028052820,node_5155-to-node_5156
GB104028052830,node_5244-to-node_5240
GB104028052840,node_5243-to-node_5244
GB104028052860,node_4778-to-node_4779
GB104028052870,node_4788-to-node_4786
GB104028052880,node_4798-to-node_4794
GB104028052891,node_4126-to-node_4124
GB104028052900,node_4131-to-node_4128
GB104028052940,node_4036-to-node_4037
GB104028052950,node_4261-to-node_4262
GB104028052960,node_4266-to-node_4265
GB104028052970,node_4037-to-node_4038
GB104028052980,node_4290-to-node_4291
GB104028052990,node_4295-to-node_4296
GB104028053000,node_4297-to-node_4298
GB104028053010,node_3831-to-node_3832
GB104028053020,node_4303-to-node_4304
GB104028053030,node_3825-to-node_3826
GB104028053040,node_3167-to-node_3165
GB104028053050,node_3830-to-node_3831
GB104028053060,node_3833-to-node_3834
GB104028053070,node_4304-to-node_3835
GB104028053080,node_3838-to-node_3839
GB104028053090,node_3840-to-node_3841
GB104028053100,node_3846-to-node_3847
GB104028053112,node_3262-to-node_3263
GB104028053120,node_3604-to-node_793
GB104028053130,node_3982-to-node_3983
GB104028053140,node_3988-to-node_3989
GB104028053150,node_3991-to-node_3992
GB104028053160,node_3996-to-node_3997
GB104028053180,node_4004-to-node_4005
