catchment_id,outfall_arc,PB,RMSE,NSE,KGE,R2
GB109054050190,node_15438-to-node_15439,95.50913032,11.97525343,-45.25357787,-0.614947959,0.000525182
GB108046005350,node_12542-to-node_12543,-101.1333173,6.460180343,-45.15707642,-1.99404585,0.080196796
GB106039023610,node_10643-to-node_10644,76.57960951,8.998405038,-45.09598008,-0.93640259,0.126028496
GB108046005020,node_12304-to-node_12305,92.81522049,3.728641215,-44.49623678,-0.648697041,0.032000099
GB105033037600,node_6241-to-node_6242,93.16258854,8.00113729,-44.47308667,-0.544974429,0.000790391
GB104027067950,node_5611-to-node_5612,94.02821018,3.958693893,-44.06165139,-0.458149006,0.019343875
GB112068055240,node_15619-to-node_15613,96.09596508,7.90540383,-43.845684,-0.563727202,0.004324032
GB105037028730,node_12181-to-node_12182,-221.3483127,11.4142678,-43.76974646,-1.761963659,0.130036956
GB105033047890,node_11152-to-node_11153,79.54093774,8.453488823,-43.39936156,-0.106487387,0.066068534
GB108044009691,node_10338-to-node_10339,87.58883625,4.660737253,-43.0884272,-0.578267154,0.050465369
GB104028057900,node_3985-to-node_3986,-160.7779098,0.510506469,-42.89270623,-3.003353676,0.115558123
GB108045014990,node_11488-to-node_11489,91.23401604,3.706630058,-42.88887134,-0.335459549,0.02500513
GB108046005080,node_12577-to-node_12578,90.94010572,4.235232868,-42.55846989,-0.396449123,0.026676177
GB104027062590,node_5183-to-node_5184,-472.6356364,12.46892668,-42.28044435,-4.338991192,0.010053935
GB106039030440,node_10900-to-node_10771,93.15281112,6.305915143,-42.14077399,-0.475826954,0.005105649
GB112072065950,node_15344-to-node_15345,-444.4580707,6.313766882,-42.01953428,-4.007650522,0.038431021
GB108051020510,node_11635-to-node_11636,74.14792762,1.043649213,-41.58544701,-0.301719348,0.004883103
GB109054055140,node_694-to-node_695,96.26759678,13.8167901,-41.36533482,-0.605855988,9.00E-05
GB104028046980,node_5753-to-node_5752,-327.3994285,16.12414713,-41.36139105,-2.525269075,0.063102346
